KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.09,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.08,0.20,0.12,0.13
0.09,0.20,0.12,0.13
0.11,0.20,0.12,0.13
0.14,0.20,0.12,0.13
0.17,0.20,0.12,0.13
0.19,0.20,0.12,0.13
0.19,0.20,0.12,0.13
0.19,0.20,0.12,0.13
0.20,0.20,0.12,0.13
0.20,0.20,0.12,0.13
0.18,0.20,0.12,0.13
0.18,0.20,0.12,0.13
0.17,0.20,0.12,0.13
0.16,0.20,0.12,0.13
0.15,0.20,0.12,0.13
0.17,0.20,0.12,0.13
0.20,0.20,0.12,0.13
0.23,0.20,0.12,0.13
0.24,0.20,0.12,0.13
0.24,0.20,0.12,0.13
0.25,0.20,0.12,0.13
0.26,0.20,0.12,0.13
0.25,0.23,0.16,0.16
0.25,0.23,0.16,0.16
0.25,0.23,0.16,0.16
0.25,0.23,0.16,0.16
0.26,0.23,0.16,0.16
0.27,0.23,0.16,0.16
0.27,0.23,0.16,0.16
0.28,0.23,0.16,0.16
0.29,0.23,0.16,0.16
0.29,0.23,0.16,0.16
0.28,0.23,0.16,0.16
0.27,0.23,0.16,0.16
0.27,0.23,0.16,0.16
0.28,0.23,0.16,0.16
0.26,0.23,0.16,0.16
0.18,0.23,0.16,0.16
0.14,0.23,0.16,0.16
0.16,0.23,0.16,0.16
0.14,0.23,0.16,0.16
0.11,0.23,0.16,0.16
0.09,0.23,0.16,0.16
0.09,0.23,0.16,0.16
0.10,0.23,0.16,0.16
0.10,0.23,0.16,0.16
0.09,0.23,0.16,0.16
0.09,0.24,0.17,0.15
0.09,0.24,0.17,0.15
0.09,0.24,0.17,0.15
0.09,0.24,0.17,0.15
0.08,0.24,0.17,0.15
0.08,0.24,0.17,0.15
0.09,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.12,0.24,0.17,0.15
0.13,0.24,0.17,0.15
0.12,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.12,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.10,0.24,0.17,0.15
0.11,0.24,0.17,0.15
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.13,0.24,0.17,0.17
0.14,0.24,0.17,0.17
0.13,0.24,0.17,0.17
0.11,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.10,0.24,0.17,0.17
0.12,0.24,0.17,0.17
0.17,0.24,0.17,0.17
0.25,0.24,0.17,0.17
0.29,0.24,0.17,0.17
0.29,0.24,0.17,0.17
0.28,0.24,0.17,0.17
0.27,0.24,0.17,0.17
0.25,0.25,0.19,0.17
0.25,0.25,0.19,0.17
0.24,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.24,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.19,0.25,0.19,0.17
0.20,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.21,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.22,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.25,0.19,0.17
0.23,0.24,0.17,0.15
0.23,0.24,0.17,0.15
0.22,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.21,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.20,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.19,0.24,0.17,0.15
0.18,0.24,0.17,0.15
0.17,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.15,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
0.16,0.24,0.17,0.15
